2020-05-13,19:13:08,0,Rebo4AI,1589389988485,"Hi, I'm Rebo4AI; a prototype conversational agent. With me, you can currently discuss only about intelligence. Is that OK with you; do you want to start a conversation? (please answer: yes)",TUTOR
2020-05-13,19:13:17,0,da,1589389997228,yes,IDSAI_QUESTION1_WITHOUT_REASON+TRUE+ACCEPT_SCENARIO+YES
2020-05-13,19:13:17,0,Rebo4AI,1589389998527,,TUTOR
2020-05-13,19:13:17,0,Rebo4AI,1589390000536,"In the TUGraz lecture ""<i>Introduction to Data Science and Artificial Intelligence (IDSA)</i>"", different definitions of intelligence have been discussed. According to different definitions, something or someone would be called intelligent if it <b>thinks humanly</b>, <b>acts humanly</b>, <b>thinks rationally</b>, <b>acts rationally</b>; or if it is <b>able to adapt behaviour</b> to a changing environment in order to achieve its goals.",TUTOR
2020-05-13,19:13:17,0,Rebo4AI,1589390006548,"I have this information from <a target=""_blank"" rel=""noopener noreferrer"" href=""http://rebo4ai.know-center.tugraz.at/bazaar/data/IDSAI/1a_Introduction.pdf"" download=""http://rebo4ai.know-center.tugraz.at/bazaar/data/IDSAI/1a_Introduction.pdf"">here</a>. But, I'm not sure I completely understand.",TUTOR
2020-05-13,19:13:17,0,Rebo4AI,1589390012553,I'm curious: Is a chicken now intelligent or not? Why?,TUTOR
2020-05-13,19:14:17,0,Rebo4AI,1589390058593,,TUTOR
2020-05-13,19:14:17,0,Rebo4AI,1589390064596,Are you personally satisfied with this decision and definition?,TUTOR
2020-05-13,19:15:17,0,Rebo4AI,1589390118647,,TUTOR
2020-05-13,19:15:17,0,Rebo4AI,1589390124653,How interesting is it for you to know whether a chicken is intelligent or not?,TUTOR
2020-05-13,19:16:17,0,Rebo4AI,1589390178693,,TUTOR
2020-05-13,19:16:17,0,Rebo4AI,1589390184696,would change in your life depending on whether you see a chicken as intelligent or not?,TUTOR
2020-05-13,19:17:17,0,Rebo4AI,1589390238741,,TUTOR
2020-05-13,19:17:17,0,Rebo4AI,1589390244747,Interesting! Thanks!,TUTOR
2020-05-13,19:17:17,0,Rebo4AI,1589390250752,See you next time!,TUTOR
2020-05-13,19:18:17,0,Rebo4AI,1589390298798,,TUTOR
